planned_run,run_id,condition,feature_id,requested_ids,passed_ids,pass_percent
anti-008,69c2fcf8-cab9-49f0-ae99-d1aef80a64ab,anti,F-004,3,2,66.66666666666667
anti-008,69c2fcf8-cab9-49f0-ae99-d1aef80a64ab,anti,F-005,2,1,50.0
anti-008,69c2fcf8-cab9-49f0-ae99-d1aef80a64ab,anti,F-006,6,3,50.0
anti-008,69c2fcf8-cab9-49f0-ae99-d1aef80a64ab,anti,F-007,3,0,0.0
anti-008,69c2fcf8-cab9-49f0-ae99-d1aef80a64ab,anti,F-008,4,2,50.0
anti-008,69c2fcf8-cab9-49f0-ae99-d1aef80a64ab,anti,F-009,2,2,100.0
anti-008,69c2fcf8-cab9-49f0-ae99-d1aef80a64ab,anti,F-010,3,2,66.66666666666667
anti-008,69c2fcf8-cab9-49f0-ae99-d1aef80a64ab,anti,F-011,2,0,0.0
anti-008,69c2fcf8-cab9-49f0-ae99-d1aef80a64ab,anti,F-012,2,0,0.0
anti-008,69c2fcf8-cab9-49f0-ae99-d1aef80a64ab,anti,F-013,2,0,0.0
anti-008,69c2fcf8-cab9-49f0-ae99-d1aef80a64ab,anti,F-014,2,0,0.0
anti-008,69c2fcf8-cab9-49f0-ae99-d1aef80a64ab,anti,F-015,1,0,0.0
anti-008,69c2fcf8-cab9-49f0-ae99-d1aef80a64ab,anti,F-016,3,1,33.333333333333336
anti-008,69c2fcf8-cab9-49f0-ae99-d1aef80a64ab,anti,F-017,2,0,0.0
anti-008,69c2fcf8-cab9-49f0-ae99-d1aef80a64ab,anti,F-018,3,3,100.0
anti-008,69c2fcf8-cab9-49f0-ae99-d1aef80a64ab,anti,F-019,3,3,100.0
anti-008,69c2fcf8-cab9-49f0-ae99-d1aef80a64ab,anti,F-020,4,4,100.0
anti-009,dc4b4eaa-b0e8-4bf9-abbd-f777a2008ee6,anti,F-001,4,4,100.0
anti-009,dc4b4eaa-b0e8-4bf9-abbd-f777a2008ee6,anti,F-002,4,3,75.0
anti-009,dc4b4eaa-b0e8-4bf9-abbd-f777a2008ee6,anti,F-003,2,2,100.0
anti-009,dc4b4eaa-b0e8-4bf9-abbd-f777a2008ee6,anti,F-004,3,1,33.333333333333336
anti-009,dc4b4eaa-b0e8-4bf9-abbd-f777a2008ee6,anti,F-005,2,1,50.0
anti-009,dc4b4eaa-b0e8-4bf9-abbd-f777a2008ee6,anti,F-006,6,3,50.0
anti-009,dc4b4eaa-b0e8-4bf9-abbd-f777a2008ee6,anti,F-007,3,3,100.0
anti-009,dc4b4eaa-b0e8-4bf9-abbd-f777a2008ee6,anti,F-008,4,4,100.0
anti-009,dc4b4eaa-b0e8-4bf9-abbd-f777a2008ee6,anti,F-009,2,1,50.0
anti-009,dc4b4eaa-b0e8-4bf9-abbd-f777a2008ee6,anti,F-010,3,2,66.66666666666667
anti-009,dc4b4eaa-b0e8-4bf9-abbd-f777a2008ee6,anti,F-011,2,1,50.0
anti-009,dc4b4eaa-b0e8-4bf9-abbd-f777a2008ee6,anti,F-012,2,0,0.0
anti-009,dc4b4eaa-b0e8-4bf9-abbd-f777a2008ee6,anti,F-013,2,0,0.0
anti-009,dc4b4eaa-b0e8-4bf9-abbd-f777a2008ee6,anti,F-014,2,0,0.0
anti-009,dc4b4eaa-b0e8-4bf9-abbd-f777a2008ee6,anti,F-015,1,0,0.0
anti-009,dc4b4eaa-b0e8-4bf9-abbd-f777a2008ee6,anti,F-016,3,2,66.66666666666667
anti-009,dc4b4eaa-b0e8-4bf9-abbd-f777a2008ee6,anti,F-017,2,2,100.0
anti-009,dc4b4eaa-b0e8-4bf9-abbd-f777a2008ee6,anti,F-018,3,3,100.0
anti-009,dc4b4eaa-b0e8-4bf9-abbd-f777a2008ee6,anti,F-019,3,3,100.0
anti-009,dc4b4eaa-b0e8-4bf9-abbd-f777a2008ee6,anti,F-020,4,4,100.0
anti-010,7e5974e1-e419-4e9d-96f3-332c91617c78,anti,F-001,4,2,50.0
anti-010,7e5974e1-e419-4e9d-96f3-332c91617c78,anti,F-002,4,3,75.0
anti-010,7e5974e1-e419-4e9d-96f3-332c91617c78,anti,F-003,2,0,0.0
anti-010,7e5974e1-e419-4e9d-96f3-332c91617c78,anti,F-004,3,0,0.0
anti-010,7e5974e1-e419-4e9d-96f3-332c91617c78,anti,F-005,2,0,0.0
anti-010,7e5974e1-e419-4e9d-96f3-332c91617c78,anti,F-006,6,0,0.0
anti-010,7e5974e1-e419-4e9d-96f3-332c91617c78,anti,F-007,3,0,0.0
anti-010,7e5974e1-e419-4e9d-96f3-332c91617c78,anti,F-008,4,0,0.0
anti-010,7e5974e1-e419-4e9d-96f3-332c91617c78,anti,F-009,2,0,0.0
anti-010,7e5974e1-e419-4e9d-96f3-332c91617c78,anti,F-010,3,0,0.0
anti-010,7e5974e1-e419-4e9d-96f3-332c91617c78,anti,F-011,2,0,0.0
anti-010,7e5974e1-e419-4e9d-96f3-332c91617c78,anti,F-012,2,0,0.0
anti-010,7e5974e1-e419-4e9d-96f3-332c91617c78,anti,F-013,2,0,0.0
anti-010,7e5974e1-e419-4e9d-96f3-332c91617c78,anti,F-014,2,0,0.0
anti-010,7e5974e1-e419-4e9d-96f3-332c91617c78,anti,F-015,1,0,0.0
anti-010,7e5974e1-e419-4e9d-96f3-332c91617c78,anti,F-016,3,0,0.0
anti-010,7e5974e1-e419-4e9d-96f3-332c91617c78,anti,F-017,2,0,0.0
anti-010,7e5974e1-e419-4e9d-96f3-332c91617c78,anti,F-018,3,3,100.0
anti-010,7e5974e1-e419-4e9d-96f3-332c91617c78,anti,F-019,3,2,66.66666666666667
anti-010,7e5974e1-e419-4e9d-96f3-332c91617c78,anti,F-020,4,3,75.0
normal-001,daedcc21-8243-4234-8df7-945db1b684c0,normal,F-001,4,0,0.0
normal-001,daedcc21-8243-4234-8df7-945db1b684c0,normal,F-002,4,2,50.0
normal-001,daedcc21-8243-4234-8df7-945db1b684c0,normal,F-003,2,1,50.0
normal-001,daedcc21-8243-4234-8df7-945db1b684c0,normal,F-004,3,1,33.333333333333336
normal-001,daedcc21-8243-4234-8df7-945db1b684c0,normal,F-005,2,2,100.0
normal-001,daedcc21-8243-4234-8df7-945db1b684c0,normal,F-006,6,6,100.0
normal-001,daedcc21-8243-4234-8df7-945db1b684c0,normal,F-007,3,0,0.0
normal-001,daedcc21-8243-4234-8df7-945db1b684c0,normal,F-008,4,3,75.0
normal-001,daedcc21-8243-4234-8df7-945db1b684c0,normal,F-009,2,0,0.0
normal-001,daedcc21-8243-4234-8df7-945db1b684c0,normal,F-010,3,2,66.66666666666667
normal-001,daedcc21-8243-4234-8df7-945db1b684c0,normal,F-011,2,1,50.0
normal-001,daedcc21-8243-4234-8df7-945db1b684c0,normal,F-012,2,2,100.0
