stratum,model,condition,feature_id,title,n,ids_per_run,mean_pass_rate
cumulative,all,anti,F-020,システム設定（管理者機能）,29,4,69.82758620689656
cumulative,muse-spark-1.2-contributor,normal,F-001,ユーザー登録,28,4,90.17857142857143
cumulative,muse-spark-1.2-contributor,normal,F-002,ログイン・ログアウト,28,4,67.85714285714286
cumulative,muse-spark-1.2-contributor,normal,F-003,申請書の新規作成,28,2,66.07142857142857
cumulative,muse-spark-1.2-contributor,normal,F-004,申請内容の入力・編集,28,3,50.0
cumulative,muse-spark-1.2-contributor,normal,F-005,申請の下書き保存,28,2,50.0
cumulative,muse-spark-1.2-contributor,normal,F-006,申請の提出（申請番号採番・承認者決定）,28,6,86.30952380952381
cumulative,muse-spark-1.2-contributor,normal,F-007,申請一覧表示,28,3,58.333333333333336
cumulative,muse-spark-1.2-contributor,normal,F-008,申請の検索・絞り込み,28,4,74.10714285714286
cumulative,muse-spark-1.2-contributor,normal,F-009,申請詳細表示,28,2,57.142857142857146
cumulative,muse-spark-1.2-contributor,normal,F-010,承認者による承認処理,28,3,73.80952380952381
cumulative,muse-spark-1.2-contributor,normal,F-011,承認者による差し戻し処理,28,2,60.714285714285715
cumulative,muse-spark-1.2-contributor,normal,F-012,申請者による申請取り消し,28,2,67.85714285714286
cumulative,muse-spark-1.2-contributor,normal,F-013,申請ステータス管理（遷移定義）,28,2,44.642857142857146
cumulative,muse-spark-1.2-contributor,normal,F-014,メール通知,28,2,78.57142857142857
cumulative,muse-spark-1.2-contributor,normal,F-015,承認履歴表示,28,1,3.5714285714285716
cumulative,muse-spark-1.2-contributor,normal,F-016,CSVエクスポート,28,3,47.61904761904762
cumulative,muse-spark-1.2-contributor,normal,F-017,ダッシュボード,28,2,35.714285714285715
cumulative,muse-spark-1.2-contributor,normal,F-018,ユーザー一覧・編集（管理者機能）,28,3,83.33333333333333
cumulative,muse-spark-1.2-contributor,normal,F-019,パスワード変更,28,3,80.95238095238095
cumulative,muse-spark-1.2-contributor,normal,F-020,システム設定（管理者機能）,28,4,73.21428571428571
cumulative,muse-spark-1.2-contributor,anti,F-001,ユーザー登録,29,4,84.48275862068965
cumulative,muse-spark-1.2-contributor,anti,F-002,ログイン・ログアウト,29,4,64.65517241379311
cumulative,muse-spark-1.2-contributor,anti,F-003,申請書の新規作成,29,2,58.62068965517241
cumulative,muse-spark-1.2-contributor,anti,F-004,申請内容の入力・編集,29,3,34.48275862068966
cumulative,muse-spark-1.2-contributor,anti,F-005,申請の下書き保存,29,2,50.0
cumulative,muse-spark-1.2-contributor,anti,F-006,申請の提出（申請番号採番・承認者決定）,29,6,37.35632183908046
cumulative,muse-spark-1.2-contributor,anti,F-007,申請一覧表示,29,3,40.229885057471265
cumulative,muse-spark-1.2-contributor,anti,F-008,申請の検索・絞り込み,29,4,56.03448275862069
cumulative,muse-spark-1.2-contributor,anti,F-009,申請詳細表示,29,2,56.89655172413793
cumulative,muse-spark-1.2-contributor,anti,F-010,承認者による承認処理,29,3,47.1264367816092
cumulative,muse-spark-1.2-contributor,anti,F-011,承認者による差し戻し処理,29,2,1.7241379310344827
cumulative,muse-spark-1.2-contributor,anti,F-012,申請者による申請取り消し,29,2,0.0
cumulative,muse-spark-1.2-contributor,anti,F-013,申請ステータス管理（遷移定義）,29,2,0.0
cumulative,muse-spark-1.2-contributor,anti,F-014,メール通知,29,2,0.0
cumulative,muse-spark-1.2-contributor,anti,F-015,承認履歴表示,29,1,0.0
cumulative,muse-spark-1.2-contributor,anti,F-016,CSVエクスポート,29,3,36.781609195402304
cumulative,muse-spark-1.2-contributor,anti,F-017,ダッシュボード,29,2,31.03448275862069
cumulative,muse-spark-1.2-contributor,anti,F-018,ユーザー一覧・編集（管理者機能）,29,3,77.01149425287356
cumulative,muse-spark-1.2-contributor,anti,F-019,パスワード変更,29,3,73.5632183908046
cumulative,muse-spark-1.2-contributor,anti,F-020,システム設定（管理者機能）,29,4,69.82758620689656
