run_id,evaluation_uuid,test_id,case_id,status,score_available
11440dd4-c70f-466e-b37a-96376727430e,5a74c522-9727-460f-b330-b0b9674ddcab,T-001-04,main,fail,True
11440dd4-c70f-466e-b37a-96376727430e,5a74c522-9727-460f-b330-b0b9674ddcab,T-002-01,main,blocked,True
11440dd4-c70f-466e-b37a-96376727430e,5a74c522-9727-460f-b330-b0b9674ddcab,T-002-02,main,pass,True
11440dd4-c70f-466e-b37a-96376727430e,5a74c522-9727-460f-b330-b0b9674ddcab,T-002-03,main,pass,True
11440dd4-c70f-466e-b37a-96376727430e,5a74c522-9727-460f-b330-b0b9674ddcab,T-002-04,main,pass,True
11440dd4-c70f-466e-b37a-96376727430e,5a74c522-9727-460f-b330-b0b9674ddcab,T-003-01,main,pass,True
11440dd4-c70f-466e-b37a-96376727430e,5a74c522-9727-460f-b330-b0b9674ddcab,T-003-02,main,pass,True
11440dd4-c70f-466e-b37a-96376727430e,5a74c522-9727-460f-b330-b0b9674ddcab,T-004-01,main,pass,True
11440dd4-c70f-466e-b37a-96376727430e,5a74c522-9727-460f-b330-b0b9674ddcab,T-004-02,main,pass,True
11440dd4-c70f-466e-b37a-96376727430e,5a74c522-9727-460f-b330-b0b9674ddcab,T-004-03,main,fail,True
11440dd4-c70f-466e-b37a-96376727430e,5a74c522-9727-460f-b330-b0b9674ddcab,T-005-01,main,fail,True
11440dd4-c70f-466e-b37a-96376727430e,5a74c522-9727-460f-b330-b0b9674ddcab,T-005-02,main,pass,True
11440dd4-c70f-466e-b37a-96376727430e,5a74c522-9727-460f-b330-b0b9674ddcab,T-006-01,main,fail,True
11440dd4-c70f-466e-b37a-96376727430e,5a74c522-9727-460f-b330-b0b9674ddcab,T-006-02,main,pass,True
11440dd4-c70f-466e-b37a-96376727430e,5a74c522-9727-460f-b330-b0b9674ddcab,T-006-03,main,fail,True
11440dd4-c70f-466e-b37a-96376727430e,5a74c522-9727-460f-b330-b0b9674ddcab,T-006-04,main,pass,True
11440dd4-c70f-466e-b37a-96376727430e,5a74c522-9727-460f-b330-b0b9674ddcab,T-006-05,lower,fail,True
11440dd4-c70f-466e-b37a-96376727430e,5a74c522-9727-460f-b330-b0b9674ddcab,T-006-05,upper,pass,True
11440dd4-c70f-466e-b37a-96376727430e,5a74c522-9727-460f-b330-b0b9674ddcab,T-006-06,main,pass,True
11440dd4-c70f-466e-b37a-96376727430e,5a74c522-9727-460f-b330-b0b9674ddcab,T-007-01,main,pass,True
11440dd4-c70f-466e-b37a-96376727430e,5a74c522-9727-460f-b330-b0b9674ddcab,T-007-02,main,pass,True
11440dd4-c70f-466e-b37a-96376727430e,5a74c522-9727-460f-b330-b0b9674ddcab,T-007-03,main,pass,True
11440dd4-c70f-466e-b37a-96376727430e,5a74c522-9727-460f-b330-b0b9674ddcab,T-008-01,main,pass,True
11440dd4-c70f-466e-b37a-96376727430e,5a74c522-9727-460f-b330-b0b9674ddcab,T-008-02,main,pass,True
11440dd4-c70f-466e-b37a-96376727430e,5a74c522-9727-460f-b330-b0b9674ddcab,T-008-03,main,pass,True
11440dd4-c70f-466e-b37a-96376727430e,5a74c522-9727-460f-b330-b0b9674ddcab,T-008-04,main,pass,True
11440dd4-c70f-466e-b37a-96376727430e,5a74c522-9727-460f-b330-b0b9674ddcab,T-009-01,main,pass,True
11440dd4-c70f-466e-b37a-96376727430e,5a74c522-9727-460f-b330-b0b9674ddcab,T-009-02,main,blocked,True
11440dd4-c70f-466e-b37a-96376727430e,5a74c522-9727-460f-b330-b0b9674ddcab,T-010-01,main,fail,True
11440dd4-c70f-466e-b37a-96376727430e,5a74c522-9727-460f-b330-b0b9674ddcab,T-010-02,main,pass,True
11440dd4-c70f-466e-b37a-96376727430e,5a74c522-9727-460f-b330-b0b9674ddcab,T-010-03,main,pass,True
11440dd4-c70f-466e-b37a-96376727430e,5a74c522-9727-460f-b330-b0b9674ddcab,T-011-01,main,fail,True
11440dd4-c70f-466e-b37a-96376727430e,5a74c522-9727-460f-b330-b0b9674ddcab,T-011-02,main,fail,True
11440dd4-c70f-466e-b37a-96376727430e,5a74c522-9727-460f-b330-b0b9674ddcab,T-012-01,main,fail,True
11440dd4-c70f-466e-b37a-96376727430e,5a74c522-9727-460f-b330-b0b9674ddcab,T-012-02,main,fail,True
11440dd4-c70f-466e-b37a-96376727430e,5a74c522-9727-460f-b330-b0b9674ddcab,T-013-01,main,fail,True
11440dd4-c70f-466e-b37a-96376727430e,5a74c522-9727-460f-b330-b0b9674ddcab,T-013-02,main,fail,True
11440dd4-c70f-466e-b37a-96376727430e,5a74c522-9727-460f-b330-b0b9674ddcab,T-014-01,main,fail,True
11440dd4-c70f-466e-b37a-96376727430e,5a74c522-9727-460f-b330-b0b9674ddcab,T-014-02,main,fail,True
11440dd4-c70f-466e-b37a-96376727430e,5a74c522-9727-460f-b330-b0b9674ddcab,T-015-01,main,fail,True
11440dd4-c70f-466e-b37a-96376727430e,5a74c522-9727-460f-b330-b0b9674ddcab,T-016-01,main,fail,True
11440dd4-c70f-466e-b37a-96376727430e,5a74c522-9727-460f-b330-b0b9674ddcab,T-016-02,main,pass,True
11440dd4-c70f-466e-b37a-96376727430e,5a74c522-9727-460f-b330-b0b9674ddcab,T-016-03,main,pass,True
11440dd4-c70f-466e-b37a-96376727430e,5a74c522-9727-460f-b330-b0b9674ddcab,T-017-01,main,pass,True
11440dd4-c70f-466e-b37a-96376727430e,5a74c522-9727-460f-b330-b0b9674ddcab,T-017-02,main,pass,True
11440dd4-c70f-466e-b37a-96376727430e,5a74c522-9727-460f-b330-b0b9674ddcab,T-018-01,main,blocked,True
11440dd4-c70f-466e-b37a-96376727430e,5a74c522-9727-460f-b330-b0b9674ddcab,T-018-02,main,pass,True
11440dd4-c70f-466e-b37a-96376727430e,5a74c522-9727-460f-b330-b0b9674ddcab,T-018-03,main,pass,True
11440dd4-c70f-466e-b37a-96376727430e,5a74c522-9727-460f-b330-b0b9674ddcab,T-019-01,main,fail,True
11440dd4-c70f-466e-b37a-96376727430e,5a74c522-9727-460f-b330-b0b9674ddcab,T-019-02,main,pass,True
11440dd4-c70f-466e-b37a-96376727430e,5a74c522-9727-460f-b330-b0b9674ddcab,T-019-03,main,pass,True
11440dd4-c70f-466e-b37a-96376727430e,5a74c522-9727-460f-b330-b0b9674ddcab,T-020-01,main,pass,True
11440dd4-c70f-466e-b37a-96376727430e,5a74c522-9727-460f-b330-b0b9674ddcab,T-020-02,main,pass,True
11440dd4-c70f-466e-b37a-96376727430e,5a74c522-9727-460f-b330-b0b9674ddcab,T-020-03,main,pass,True
11440dd4-c70f-466e-b37a-96376727430e,5a74c522-9727-460f-b330-b0b9674ddcab,T-020-04,main,pass,True
133cba3d-7333-4f8a-be4f-f44b8e93e154,c763cade-9714-46fb-9e14-48728ba072c7,T-001-01,main,pass,True
133cba3d-7333-4f8a-be4f-f44b8e93e154,c763cade-9714-46fb-9e14-48728ba072c7,T-001-02,main,pass,True
133cba3d-7333-4f8a-be4f-f44b8e93e154,c763cade-9714-46fb-9e14-48728ba072c7,T-001-03,main,pass,True
133cba3d-7333-4f8a-be4f-f44b8e93e154,c763cade-9714-46fb-9e14-48728ba072c7,T-001-04,main,pass,True
133cba3d-7333-4f8a-be4f-f44b8e93e154,c763cade-9714-46fb-9e14-48728ba072c7,T-002-01,main,fail,True
133cba3d-7333-4f8a-be4f-f44b8e93e154,c763cade-9714-46fb-9e14-48728ba072c7,T-002-02,main,fail,True
133cba3d-7333-4f8a-be4f-f44b8e93e154,c763cade-9714-46fb-9e14-48728ba072c7,T-002-03,main,pass,True
133cba3d-7333-4f8a-be4f-f44b8e93e154,c763cade-9714-46fb-9e14-48728ba072c7,T-002-04,main,pass,True
133cba3d-7333-4f8a-be4f-f44b8e93e154,c763cade-9714-46fb-9e14-48728ba072c7,T-003-01,main,pass,True
133cba3d-7333-4f8a-be4f-f44b8e93e154,c763cade-9714-46fb-9e14-48728ba072c7,T-003-02,main,pass,True
133cba3d-7333-4f8a-be4f-f44b8e93e154,c763cade-9714-46fb-9e14-48728ba072c7,T-004-01,main,pass,True
133cba3d-7333-4f8a-be4f-f44b8e93e154,c763cade-9714-46fb-9e14-48728ba072c7,T-004-02,main,fail,True
133cba3d-7333-4f8a-be4f-f44b8e93e154,c763cade-9714-46fb-9e14-48728ba072c7,T-004-03,main,fail,True
133cba3d-7333-4f8a-be4f-f44b8e93e154,c763cade-9714-46fb-9e14-48728ba072c7,T-005-01,main,fail,True
133cba3d-7333-4f8a-be4f-f44b8e93e154,c763cade-9714-46fb-9e14-48728ba072c7,T-005-02,main,fail,True
