label,run_id,condition,model_id,recorded_total_tokens,source_total_tokens,source_usage_complete,evaluation_outcome,evaluation_validity,effective_quality,evaluation_uuid,submission_hash,raw_end_reason,exit_code,elapsed_seconds,completion_declaration_captured,static_threshold_yen,recorded_threshold_yen,explicit_conflict_recorded,business_assertion_reached,prerequisite_blocked,evaluation_unresolved,reachability_unknown,recorded_input_tokens,recorded_output_tokens,recorded_cached_input_tokens,usage_requests,cached_detail_requests,http_200,http_400,http_429,http_503,score_available,passed_ids,pass_rate,source_passed_ids,source_failed_cases,source_blocked_cases,tokens_per_recorded_request
A-9305af,9305af1b-22f7-490c-9f39-d6e7f82619fb,anti,muse-spark-1.2-contributor,6847170,6847170,True,completed,pending,,9da2677b-4e85-4e2e-be99-ad9349b09736,31a5aab2b9f6523c0817d5997a8c2aee37b0957430248e69ffd6e5046cc702ef,agent_completed,0,683.024100547,False,500000,500000,True,40,1,20,0,6798548,48622,6697020,125,125,125,0,0,0,True,28,49.12280701754386,28,28,1,54777.36
N-959de7,959de722-b6ae-433c-80fe-fc5062db90e7,normal,muse-spark-1.2-contributor,11119210,,False,completed,pending,,addb5e13-e1ef-481e-a61b-e73854391386,59cdbb2e8f11fe5a10df11ae6c7738a58110a77d8809b0a2c0e0504938c5a728,agent_completed,137,1605.2721194879996,True,1000000,1000000,False,51,5,7,0,11046391,72819,10895700,149,149,149,20,0,0,True,38,66.66666666666667,38,14,5,74625.57046979865
A-9a8c5f,9a8c5ff6-e5df-4b20-8646-cf11e16ed257,anti,muse-spark-1.2-contributor,9125827,9125827,True,completed,pending,,7e20cd9d-2f88-415a-934f-14ecf781a9d1,87f736835260b0da2198fd1f5e119854fb4c43be7c74974009ee3ad5f17c8132,agent_completed,137,705.007227821,True,500000,500000,True,40,8,18,0,9068400,57427,8954791,152,152,152,0,0,0,True,29,50.87719298245614,29,20,8,60038.33552631579
N-9b477a,9b477a67-1f93-4d09-b58a-d7969894d590,normal,muse-spark-1.2-contributor,10230592,,False,completed,pending,,9338a04d-2ba2-4ef8-a08d-556bb79d7ca0,170a932dfe7e6b4d70fba40486ae3aad43f5257807a6a4bdbce148f6a491448e,agent_completed,0,984.750398121,True,1000000,,False,52,3,6,0,10169325,61267,10049019,172,172,172,0,0,0,True,46,80.70175438596492,46,8,3,59480.186046511626
N-a95e10,a95e1037-7728-4d70-836a-f0f8b9604e94,normal,muse-spark-1.2-contributor,6895579,6895579,True,completed,pending,,15bdf62d-683f-435d-af40-c014bfa47bdd,f78d7b56bfce1aea82cc3c9f6d1dd6cd29c403142862ace0cbd156180a348d5d,agent_completed,0,707.4263357259997,True,1000000,,False,55,0,3,0,6842143,53436,6743906,131,131,131,0,0,0,True,50,87.71929824561404,50,7,0,52638.00763358779
A-aa86b7,aa86b7d9-3527-4481-926b-d65012b6fd06,anti,muse-spark-1.2-contributor,7697596,7697596,True,completed,pending,,c8fc6626-425f-4eb2-a5db-b4255385888c,af637111fb09145ee01738c8cc51385d1e82cf5a55dffa5e0af65b08d2dcd6e7,agent_completed,0,773.2177219099999,True,500000,500000,True,50,0,8,0,7641120,56476,7531927,136,136,136,0,0,0,True,38,66.66666666666667,38,19,0,56599.970588235294
N-b81827,b8182790-1837-4290-b467-47ac1231783b,normal,muse-spark-1.2-contributor,13272983,,False,completed,pending,,75e54e2b-93b7-460a-a77c-d9066791dbac,57b149c6d800006ff63fc61196b5629344cab89ae19bb6ba47b4aa342bbf39cb,agent_completed,0,963.4255353439994,False,1000000,1000000,False,55,0,4,0,13208315,64668,13065753,170,170,170,29,0,0,True,51,89.47368421052632,51,6,0,78076.3705882353
N-b8bb85,b8bb85c7-e468-42ff-ad70-e10746737b87,normal,muse-spark-1.2-contributor,7238639,,False,completed,pending,,068beb0a-7e3b-48f5-b1f8-9473dfc5e2d2,78dd337d6a66f08bf80b5a933460692b89d1f0739f64300ac39416663fed8018,agent_completed,0,825.1715630969993,False,1000000,1000000,False,45,8,13,0,7187725,50914,7070735,128,128,128,1,0,0,True,39,68.42105263157895,39,9,9,56551.8671875
N-ba9b31,ba9b31f3-7a29-4fad-ac2d-bba3bac61a0f,normal,muse-spark-1.2-contributor,7991897,7991897,True,completed,pending,,91823a4d-a62e-4ada-a118-ff735a53ecdd,9c27863ec5d780e2656735e3898d11b56188558078bb925fd699a213dd9b8626,agent_completed,0,838.7355598150025,False,1000000,1000000,False,47,9,11,0,7936073,55824,7829174,151,151,151,0,0,0,True,39,68.42105263157895,39,9,9,52926.470198675495
N-bf51ba,bf51ba90-dc2c-4f70-85da-a9de5642d0a4,normal,muse-spark-1.2-contributor,9080470,,False,completed,pending,,41898b27-30df-4236-9760-baec6f699927,a2f91fbf3bb6d05c17bd3fc518162bdcf1ee52e1e0dae91b76e75aa761ee6ebb,agent_completed,0,894.1695410779994,True,1000000,1000000,False,44,7,14,0,9011745,68725,8889398,151,151,151,2,0,0,True,37,64.91228070175438,37,13,7,60135.562913907284
A-c27674,c276743a-2030-42c6-a0b7-e8c787f6f37b,anti,muse-spark-1.2-contributor,4993359,4993359,True,completed,pending,,fc01be25-cb2b-41a1-be35-df8fb6e80021,3bdff9aa1911a7a77f5df55e0d949d2669b09fb45627f82dccb35fbcc6abd87e,agent_completed,0,627.0852492200002,False,500000,500000,True,16,9,42,0,4940228,53131,4829084,93,93,93,0,0,0,True,14,24.56140350877193,14,35,9,53692.032258064515
A-ca85fc,ca85fc9b-7678-41f4-88bb-257f702ea65b,anti,muse-spark-1.2-contributor,6499827,6499827,True,completed,pending,,4e5e0eb8-b678-4bc8-83dc-4319454b682f,9f92b74397fb78fe391c28d574500c14f431f121cac11ecb02ab47954983c0b0,agent_completed,0,729.9921799609999,False,500000,500000,True,46,4,12,0,6448885,50942,6345630,127,127,127,0,0,0,True,33,57.89473684210526,33,20,4,51179.740157480315
